NAME,DESCRIPTION
RIFAMPIN,ANTITUBERCULARS
RASAGILINE,To treat Parkinsons Disease
LEVALBUTEROL,Short acting inhaler for asthma or COPD/emphysema to use when you get short of breath
CATHERIZATION SET,"UROSTOMY/URINARY COLLECTION DEVICES,OTHER"
ETANERCEPT,"ANTIRHEUMATICS,OTHER"
LABETALOL,For high blood pressure or to slow down your heart rate
ABACAVIR,"To treat a viral infection, sometimes hepatitis B or C"
SORBITOL,to help with constipation or help you have a bowel movement
FLUTICASONE/SALMETEROL,Long acting inhaler for asthma or COPD/emphysema to take every day
APREPITANT,for nausea or vomiting
CELECOXIB,Pain relief-nonsteroidal or NSAID
TOLTERODINE,To help calm the bladder muscle
SODIUM HYPOCHLORITE 0.125% (OZ),To treat infection on your skin
LUBIPROSTONE,to reduce stomach acid
MISOPROSTOL,"ANTIULCER AGENTS,OTHER"
"VANCOMYCIN HCL (100MG/ML) SOLN,ORAL","ANTI-INFECTIVES,OTHER"
TAMOXIFEN,ANTINEOPLASTIC HORMONES
PENTOXIFYLLINE,To help open your blood vessels and improve your blood flow/circulation (for claudication)
IMIPRAMINE,for depression or to help you sleep better
PYRIDOSTIGMINE,PARASYMPATHOMIMETICS (CHOLINERGICS)
ETRAVIRINE,"To treat a viral infection, sometimes hepatitis B or C"
THIOTHIXENE,PHENOTHIAZINE/RELATED ANTIPSYCHOTICS
LANREOTIDE,ANTERIOR PITUITARY
DAPSONE,"ANTI-INFECTIVES,OTHER"
LINACLOTIDE,to reduce stomach acid
RT SWISH AND SWALLOW OZ,"NASAL AND THROAT,TOPICAL,OTHER"
URSODIOL,to reduce stomach acid
COLESTIPOL,for your cholesterol
"DARBEPOETIN ALFA,RECOMBINANT",BLOOD FORMATION PRODUCTS
MINOXIDIL,For your high blood pressure
LACOSAMIDE,To prevent seizures (fits) or for nerve pain
RIZATRIPTAN,For migraine headaches
TRIAMTERENE,For high blood pressure or to help get fluid off your body (water pill/diuretic)
FLURANDRENOLIDE,For a rash on your skin (reduce irritation or inflammation)
THEOPHYLLINE,"BRONCHODILATORS,XANTHINE-DERIVATIVE"
FEXOFENADINE,"For allergies, antihistamine (sometimes to help with sleep)"
LAMIVUDINE/ZIDOVUDINE,"To treat a viral infection, sometimes hepatitis B or C"
GLUCAGON,If your sugar (glucose) gets too low
BISMUTH SUBSALICYLATE,to reduce diarrhea
CHLORPHENIRAMINE,"ANTIHISTAMINES,ALKYLAMINE"
ITRACONAZOLE,To treat a fungal infection
EXENATIDE,for your diabetes (high sugars)
CABERGOLINE,"AUTONOMIC AGENTS,OTHER"
CYPROHEPTADINE,"ANTIHISTAMINES,PIPERIDINE"
TRIHEXYPHENIDYL,PARASYMPATHOLYTICS
SIROLIMUS,IMMUNE SUPPRESSANTS
TRIFLUOPERAZINE,PHENOTHIAZINE/RELATED ANTIPSYCHOTICS
MIRABEGRON,To help calm the bladder muscle
HYALURONATE SODIUM,"ANTIRHEUMATICS,OTHER"
CAPECITABINE,"ANTINEOPLASTICS,ANTIMETABOLITES"
PHENOL,Throat lozenge to relieve throat pain
TROSPIUM,To help calm the bladder muscle
EFAVIRENZ,"To treat a viral infection, sometimes hepatitis B or C"
TALC,"DERMATOLOGICALS,TOPICAL OTHER"
ALFUZOSIN,To reduce swelling in your prostate and help you urinate (use the bathroom)
CODEINE,for moderate to severe pain-narcotic pain reliever
ALUMINUM SULFATE/CALCIUM ACETATE,"DERMATOLOGICALS,TOPICAL OTHER"
RABEPRAZOLE,to reduce stomach acid
INV Med ZINC CAPSULE 30MG,Vitamin or other supplement
ACETIC ACID,"ANTI-INFECTIVES,TOPICAL OTIC OTHER"
LOPINAVIR/RITONAVIR,"To treat a viral infection, sometimes hepatitis B or C"
DESMOPRESSIN,POSTERIOR PITUITARY
DIMETHYL FUMARATE,IMMUNE STIMULANTS
DESVENLAFAXINE,for depression or to help you sleep better
PHENOBARBITAL,BARBITURIC ACID DERIVATIVE SEDATIVES/HYPNOTICS
PHYTONADIONE,PHYTONADIONE
DRONABINOL,for nausea or vomiting
SORAFENIB,"ANTINEOPLASTIC,OTHER"
GLUCERNA,ENTERAL NUTRITION
DEXLANSOPRAZOLE,to reduce stomach acid
WATER,PHARMACEUTICAL AIDS/REAGENTS
SALICYLIC ACID/SULFUR,SOAPS/SHAMPOOS/SOAP-FREE CLEANSERS
GLUCOSE 30GM/TUBE ORAL LIQUID,If your sugar (glucose) gets too low
AZILSARTAN,For your high blood pressure
CALAMINE,"DERMATOLOGICALS,TOPICAL OTHER"
NAPHAZOLINE,"DECONGESTANTS,TOPICAL OPHTHALMIC"
HYOSCYAMINE,PARASYMPATHOLYTICS
LIOTHYRONINE,for your thyroid gland (hypothyroidism treatment)
DESOGESTREL/ETHINYL ESTRADIOL,"CONTRACEPTIVES,SYSTEMIC"
INV Med SAMe/PLACEBO 400MG TAB,Vitamin or other supplement
METHENAMINE,METHENAMINE SALTS ANTIMICROBIALS
CEFACLOR,CEPHALOSPORIN 2ND GENERATION
FLUDROCORTISONE ,MINERALOCORTICOIDS
INTERFERON BETA-1A,IMMUNE STIMULANTS
EVEROLIMUS,"ANTINEOPLASTIC,OTHER"
POTASSIUM PHOSPHATE/SODIUM BIPHOSPHATE/SODIUM PHOSPHATE,PHOSPHORUS
THICK & EASY,ENTERAL NUTRITION
PIROXICAM,Pain relief-nonsteroidal or NSAID
CASTELLANI PAINT,To treat a fungus infection on your skin or dandruff (dry flaky scalp)
OLODATEROL/TIOTROPIUM,Long acting inhaler for asthma or COPD/emphysema to take every day
AMANTADINE,"To treat a viral infection, sometimes hepatitis B or C"
PRAMIPEXOLE,To treat Parkinsons Disease
NEVIRAPINE,"To treat a viral infection, sometimes hepatitis B or C"
RILUZOLE,To prevent seizures (fits) or for nerve pain
INV Med CELECOXIB 400MG/PLACEBO CAP,INVESTIGATIONAL ANTI-BACTERIAL DRUGS
RIVASTIGMINE,To prevent seizures (fits) or for nerve pain
INV Med ZINC/PLACEBO 220MG CAP,Vitamin or other supplement
INV DEVOTE INSULIN DEGLUDEC/GLARGINE INJ,INVESTIGATIONAL AGENTS
SULFACETAMIDE,antibiotic to treat an infection with bacteria
BIMATOPROST,For glaucoma (too much pressure in your eyes)
SECUKINUMAB,IMMUNE SUPPRESSANTS
USTEKINUMAB,IMMUNE SUPPRESSANTS
DENOSUMAB,"IMMUNOLOGICAL AGENTS,OTHER"
VORTIOXETINE,for depression or to help you sleep better
INV S-ADENOSYLMETHIONE 400MG CAPLET,INVESTIGATIONAL AGENTS
COBICISTAT/DARUNAVIR,"To treat a viral infection, sometimes hepatitis B or C"
FLUOROMETHOLONE,"ANTI-INFLAMMATORIES,TOPICAL OPHTHALMIC"
ROFLUMILAST,"RESPIRATORY AGENTS,OTHER"
LINEZOLID,"ANTI-INFECTIVES,OTHER"
METHYLDOPA,For your high blood pressure
MYCOPHENOLIC ACID,IMMUNE SUPPRESSANTS
PAPILLOMAVIRUS HUMAN VACCINE,VACCINES
DURAHESIVE WAFER,"PROTECTANTS,SKIN,OSTOMY"
PROGESTERONE,PROGESTINS
INV BENRALIZUMAB 30/100MG/PLACEBO INJ,INVESTIGATIONAL AGENTS
ACETYLCYSTEINE,MUCOLYTICS
SCOPOLAMINE,For vertigo or dizziness
GENTAMICIN,To treat infection on your skin
ZIDOVUDINE,"To treat a viral infection, sometimes hepatitis B or C"
FONDAPARINUX,"Blood thinner, to prevent clots"
FEEDING BAG W/PUMP SET COVIDIEN #773662,"BAGS,FEEDING"
ACAMPROSATE,ALCOHOL DETERRENTS
PRAMOXINE,"LOCAL ANESTHETICS,TOPICAL"
CARISOPRODOL,Muscle relaxer
ESTROGENS/MEDROXYPROGESTERONE,"HORMONES/SYNTHETICS/MODIFIERS,OTHER"
VITAMIN A,VITAMIN A
MEXILETINE,ANTIARRHYTHMICS
CAPTOPRIL,For your high blood pressure
MULTIVITAMIN/MINERALS LIQUID,Vitamin or other supplement
MARAVIROC,"To treat a viral infection, sometimes hepatitis B or C"
INV Med VPI-2690B/PLACEBO INJ 18/48MG,INVESTIGATIONAL AGENTS
POLYETHYLENE GLYCOL 400/PROPYLENE GLYCOL,"For washing your eyes, or dry eyes"
GLYCOPYRROLATE,PARASYMPATHOLYTICS
ATOVAQUONE,"ANTIPROTOZOALS,OTHER"
ANASTROZOLE,"ANTINEOPLASTIC,OTHER"
STOMAHESIVE POWDER,"PROTECTANTS,SKIN,OSTOMY"
ALOH/MGOH/SIMTH REG STRENGTH CHEW TAB,"ANTACIDS,OTHER"
ATOVAQUONE/PROGUANIL,ANTIMALARIALS
BROMOCRIPTINE,"AUTONOMIC AGENTS,OTHER"
BRIMONIDINE/TIMOLOL,For glaucoma (too much pressure in your eyes)
THALIDOMIDE,"IMMUNOLOGICAL AGENTS,OTHER"
RISEDRONATE,"HORMONES/SYNTHETICS/MODIFIERS,OTHER"
MEPILEX 15X15CM/6X6IN,PROSTHETICS/SUPPLIES/DEVICES
BENAZEPRIL,For your high blood pressure
PITAVASTATIN,for your cholesterol
INV Med ABIRATERONE 250MG (ZYTIGA) TAB,INVESTIGATIONAL AGENTS
AZILSARTAN/CHLORTHALIDONE,For your high blood pressure
REPAGLINIDE,for your diabetes (high sugars)
PIMECROLIMUS,"DERMATOLOGICALS,TOPICAL OTHER"
SODIUM HYPOCHLORITE,To treat infection on your skin
DIPHTHERIA/TETANUS TOXOID ADULT 0.5ML,TOXOIDS
SUNITINIB,"ANTINEOPLASTIC,OTHER"
PODOFILOX,"KERATOLYTICS/CAUSTICS,TOPICAL"
PRASUGREL,To protect the blood vessels in your heart or brain from clots
NEPAFENAC,"ANTI-INFLAMMATORIES,TOPICAL OPHTHALMIC"
RAMIPRIL,For your high blood pressure
PERMETHRIN 1% TOP LOTION,PEDICULICIDES
CIMETIDINE,to reduce stomach acid
THIORIDAZINE,PHENOTHIAZINE/RELATED ANTIPSYCHOTICS
CYCLOPHOSPHAMIDE 50MG CAP,"ANTINEOPLASTICS,ALKYLATING AGENTS"
MOISTURIZING CREAM,Moisturizer to help your skin
PEGFILGRASTIM,BLOOD FORMATION PRODUCTS
CEFTRIAXONE,CEPHALOSPORIN 3RD GENERATION
CEFTAZIDIME,CEPHALOSPORIN 3RD GENERATION
BETAXOLOL,For glaucoma (too much pressure in your eyes)
"EPOETIN ALFA,RECOMBINANT",BLOOD FORMATION PRODUCTS
DAPTOMYCIN,"ANTI-INFECTIVES,OTHER"
DIPHTHERIA TOXOID/PERTUSSIS VACCINE/TETANUS TOXOID,"VACCINES/TOXOIDS, OTHER"
PROBENECID,for your gout
DALTEPARIN,"Blood thinner, to prevent clots"
DANAZOL,To raise your testosterone levels
ELETRIPTAN,For migraine headaches
ETHAMBUTOL,ANTITUBERCULARS
MAGNESIUM,To raise your magnesium levels
"CANNULA,DISP INNER SZ8 (WHITE)","INTRAVENOUS SETS,OTHER"
VILAZODONE,for depression or to help you sleep better
BECLOMETHASONE DIPROPIONATE,"ANTI-INFLAMMATORIES,INHALATION"
ZILEUTON,Long acting inhaler for asthma or COPD/emphysema to take every day
ARMODAFINIL,"CNS STIMULANTS,OTHER"
KARAYA GUM,"PROTECTANTS,SKIN,OSTOMY"
TOBRAMYCIN,antibiotic to treat an infection with bacteria
"FORTIFIED VANCOMYCIN  31MG/CC, 15CC",antibiotic to treat an infection with bacteria
HYDROCHLOROTHIAZIDE/TELMISARTAN,For your high blood pressure
SKIN BOND,"ADHESIVES,OSTOMY"
INV Med FOLIC ACID 1MG TABLET,INVESTIGATIONAL AGENTS
LETROZOLE,"ANTINEOPLASTIC,OTHER"
FELODIPINE,For your high blood pressure
LEVONORGESTREL,"CONTRACEPTIVES,SYSTEMIC"
ESTRAMUSTINE,"ANTINEOPLASTIC,OTHER"
GLYCERIN,to help with constipation or help you have a bowel movement
FLUVASTATIN,for your cholesterol
APOMORPHINE ,To treat Parkinsons Disease
DESIPRAMINE,for depression or to help you sleep better
HYDROXYPROGESTERONE,PROGESTINS
METAXALONE,Muscle relaxer
NADOLOL,For high blood pressure or to slow down your heart rate
VALGANCICLOVIR,"To treat a viral infection, sometimes hepatitis B or C"
OSTOMY SCISSORS  UNITED-1198,"OSTOMY SUPPLIES,OTHER"
HYPROMELLOSE,"For washing your eyes, or dry eyes"
CATHETER 16FR SIL COAT *COUDE TIP*,"CATHETER,COUDE-TIP"
"CANNULA,DISP INNER SZ7 (GREEN)","INTRAVENOUS SETS,OTHER"
FORMOTEROL/MOMETASONE,Long acting inhaler for asthma or COPD/emphysema to take every day
DEMECLOCYCLINE,antibiotic to treat an infection with bacteria
PARAFFIN HYDROCARBONS,PHARMACEUTICAL AIDS/REAGENTS
RIFABUTIN,"ANTI-INFECTIVES,OTHER"
LOMUSTINE,"ANTINEOPLASTICS,ALKYLATING AGENTS"
EFLORNITHINE,"DERMATOLOGICALS,TOPICAL OTHER"
BETHANECHOL,PARASYMPATHOMIMETICS (CHOLINERGICS)
ENTECAVIR,"To treat a viral infection, sometimes hepatitis B or C"
CLORAZEPATE,Sedative or to reduce anxiety
CEFIXIME 400MG TAB,CEPHALOSPORIN 3RD GENERATION
FAMCICLOVIR,"To treat a viral infection, sometimes hepatitis B or C"
PRO-STAT,ENTERAL NUTRITION
NALTREXONE 380MG/VIL SA SUSP INJ,ALCOHOL DETERRENTS
ETHACRYNIC ACID,Water pill (diuretic to get fluid off of your body)
CATHETER 18FR 5CC SILICONE COATED,"CATHETER,BALLOON"
DEFERASIROX,HEAVY METAL ANTAGONISTS
IRRIGATING EYE,"For washing your eyes, or dry eyes"
DIHYDROERGOTAMINE,For migraine headaches
ARIPIPRAZOLE 300MG/KIT SA INJ SUSP,"antipsychotics, or to help stabilize your mood"
TIPRANAVIR,"To treat a viral infection, sometimes hepatitis B or C"
TERIPARATIDE,PARATHYROID
HEPARIN,"Blood thinner, to prevent clots"
DASATINIB,"ANTINEOPLASTIC,OTHER"
ACLIDINIUM,Long acting inhaler for asthma or COPD/emphysema to take every day
TBO-FILGRASTIM,BLOOD FORMATION PRODUCTS
BACITRACIN/NEOMYCIN/POLYMYXIN B,"ANTI-INFECTIVE,TOPICAL OPHTHALMIC,OTHER"
JESSNER`S,"DERMATOLOGICALS,TOPICAL OTHER"
TICAGRELOR,To protect the blood vessels in your heart or brain from clots
INV DEUTETRABENAZINE(SD-809)/PLACEBO TAB,INVESTIGATIONAL AGENTS
TETRACYCLINE,antibiotic to treat an infection with bacteria
INV DEUTETRABENAZINE(SD-809)/PLACEBO TB,INVESTIGATIONAL AGENTS
NEBIVOLOL,For high blood pressure or to slow down your heart rate
FESOTERODINE,To help calm the bladder muscle
NEFAZODONE,for depression or to help you sleep better
IVERMECTIN,ANTHELMINTICS
ALBENDAZOLE,ANTHELMINTICS
PIMOZIDE,To prevent seizures (fits) or for nerve pain
HYDROGEN PEROXIDE,To treat infection on your skin
POLYCITRA-K CRYSTALS,CITRATES
STOMAHESIVE WAFER,"PROTECTANTS,SKIN,OSTOMY"
SILVER NITRATE,"KERATOLYTICS/CAUSTICS,TOPICAL"
DICLOXACILLIN,PENICILLINASE-RESISTANT PENICILLINS
CYCLOPHOSPHAMIDE 25MG CAP,"ANTINEOPLASTICS,ALKYLATING AGENTS"
ALTEPLASE,THROMBOLYTICS
VALVE ADAPTER #2000E,PROSTHETICS/SUPPLIES/DEVICES
TRIMETHOPRIM,"ANTI-INFECTIVES,OTHER"
SODIUM OXYBATE,To prevent seizures (fits) or for nerve pain
BELLADONNA/OPIUM,for moderate to severe pain-narcotic pain reliever
IRRIGATION SLEEVE,"IRRIGATORS/SETS,OSTOMY"
NAFTIFINE,To treat a fungus infection on your skin or dandruff (dry flaky scalp)
QUINIDINE,ANTIARRHYTHMICS
SEVELAMER HCL,for erections or sexual performance
PRAMLINTIDE,for your diabetes (high sugars)
INV Med METHOTREXATE 5MG/PLACEBO TABLET,INVESTIGATIONAL AGENTS
DRONEDARONE,ANTIARRHYTHMICS
NEPRO,ENTERAL NUTRITION
ACEBUTOLOL,For high blood pressure or to slow down your heart rate
TELMISARTAN,For your high blood pressure
ALCOHOL,To treat infection on your skin
INTERFERON ALFA-2B,IMMUNE STIMULANTS
BOSENTAN,To help open your blood vessels and improve your blood flow/circulation (for claudication)
DEXTROMETHORPHAN/QUINIDINE,To prevent seizures (fits) or for nerve pain
TRIFLURIDINE,"ANTIVIRALS,TOPICAL OPHTHALMIC"
CARBAMAZEPINE (CARBATROL) 300MG SA CAP,To prevent seizures (fits) or for nerve pain
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,"To treat a viral infection, sometimes hepatitis B or C"
TUBE FEEDING GT 16FR DYND70316 (3 PORT),"BAGS/TUBES/SUPPLIES FOR ORAL NUTRITION,OTHER"
APRACLONIDINE,"OPHTHALMICS,OTHER"
IOHEXOL,NON-IONIC CONTRAST MEDIA
ALCLOMETASONE,For a rash on your skin (reduce irritation or inflammation)
NILOTINIB,"ANTINEOPLASTIC,OTHER"
ENSURE,ENTERAL NUTRITION
OCTREOTIDE,to reduce diarrhea
OLMESARTAN,For your high blood pressure
RUXOLITINIB,"IMMUNOLOGICAL AGENTS,OTHER"
ANAGRELIDE,BLOOD FORMATION PRODUCTS
COMPOUND PRESCRIPTION,MISCELLANEOUS AGENTS
FEEDING BAG W/PUMP SET KENDALL #773656,"BAGS,FEEDING"
CHLORAMBUCIL,"ANTINEOPLASTICS,ALKYLATING AGENTS"
GANCICLOVIR,"ANTIVIRALS,TOPICAL OPHTHALMIC"
ACCORD-METFORMIN (GLUCOPHAGE) 500MG TAB,INVESTIGATIONAL AGENTS
INV Med DILTIAZEM ER 180MG TAB-SPRINT,For your high blood pressure
NALOXONE 0.4MG/1ML SDV,To cancel the effects of narcotic drugs or alcohol
ZINC PYRITHIONE 2% SHAMPOO,SOAPS/SHAMPOOS/SOAP-FREE CLEANSERS
TRANYLCYPROMINE,MONAMINE OXIDASE INHIBITOR ANTIDEPRESSANTS
EFINACONAZOLE,To treat a fungus infection on your skin or dandruff (dry flaky scalp)
DUTASTERIDE,"HORMONES/SYNTHETICS/MODIFIERS,OTHER"
VARICELLA VACCINE,VACCINES
NINTEDANIB,"RESPIRATORY AGENTS,OTHER"
INV Med METHOTREXATE 5MG TAB(RUN-IN),INVESTIGATIONAL AGENTS
DARIFENACIN,To help calm the bladder muscle
PROPYLTHIOURACIL,ANTITHYROID AGENTS
HYLAN G-F 20,"MUSCULOSKELETAL AGENTS,OTHER"
FLUVOXAMINE,for depression or to help you sleep better
BUTORPHANOL,for moderate to severe pain-narcotic pain reliever
"DALTEPARIN NA 25,000UNT/ML INJ","Blood thinner, to prevent clots"
INTERFERON BETA-1B,"IMMUNOLOGICAL AGENTS,OTHER"
AMOXAPINE,for depression or to help you sleep better
TRIMETHOBENZAMIDE,for nausea or vomiting
VANCOMYCIN,"ANTI-INFECTIVES,OTHER"
RIMEXOLONE,"ANTI-INFLAMMATORIES,TOPICAL OPHTHALMIC"
DISOPYRAMIDE,ANTIARRHYTHMICS
FILGRASTIM,BLOOD FORMATION PRODUCTS
EXEMESTANE,"ANTINEOPLASTIC,OTHER"
DALFAMPRIDINE,"MUSCULOSKELETAL AGENTS,OTHER"
"FORTIFIED GENTAMICIN 14MG/CC,5CC",antibiotic to treat an infection with bacteria
OMEPRAZOLE/SODIUM BICARBONATE,to reduce stomach acid
CLOMIPHENE,GONADOTROPINS
MINERAL OIL,to help with constipation or help you have a bowel movement
NALOXONE/PENTAZOCINE,for moderate to severe pain-narcotic pain reliever
CARBIDOPA/ENTACAPONE/LEVODOPA,To treat Parkinsons Disease
DROSPIRENONE/ETHINYL ESTRADIOL,"CONTRACEPTIVES,SYSTEMIC"
ADAPALENE,"ANTIACNE AGENTS,TOPICAL"
CANDIDA ALBICANS TEST,DIAGNOSTIC ANTIGENS
CORTICOTROPIN,ANTERIOR PITUITARY
DANTROLENE,Muscle relaxer
INV Med DILTIAZEM ER-SPRINT 120MG TAB,For your high blood pressure
DEXTRAN 70/HYPROMELLOSE,"For washing your eyes, or dry eyes"
OMALIZUMAB,IMMUNE SUPPRESSANTS
REGORAFENIB,"ANTINEOPLASTIC,OTHER"
CANAGLIFLOZIN,for your diabetes (high sugars)
DOFETILIDE,ANTIARRHYTHMICS
IRBESARTAN,For your high blood pressure
TIPIRACIL/TRIFLURIDINE,"ANTINEOPLASTIC,OTHER"
TUBE FEEDING GE 20FR DYND70320 (3 PORT),"BAGS/TUBES/SUPPLIES FOR ORAL NUTRITION,OTHER"
CASTOR OIL/PERUVIAN BALSAM/TRYPSIN,"DERMATOLOGICALS,TOPICAL OTHER"
POSACONAZOLE,To treat a fungal infection
BETAMETHASONE VALERATE 0.1% CREAM,For a rash on your skin (reduce irritation or inflammation)
VINYL CONN. TU. 30CM MALE PLASTIC,*Missing*
SULFACETAMIDE/SULFUR,"KERATOLYTICS/CAUSTICS,TOPICAL"
ROCHESTER WIDE BAND EXT CATH 32MM,PROSTHETICS/SUPPLIES/DEVICES
CHORIOGONADOTROPIN ALFA,GONADOTROPINS
LENVATINIB,"ANTINEOPLASTIC,OTHER"
HOMATROPINE,"MYDRIATICS/CYCLOPLEGICS,TOPICAL OPHTHALMIC"
SOLIFENACIN,To help calm the bladder muscle
IDELALISIB,"ANTINEOPLASTIC,OTHER"
ALUMINUM HYDROXIDE GEL 320MG/5ML SUSP,ALUMINUM CONTAINING ANTACIDS
ZALEPLON,To help you sleep
CATHETER 20FR 5CC BALLOON ALL SILICONE,"CATHETER,BALLOON"
TEMOZOLOMIDE,"ANTINEOPLASTICS,ALKYLATING AGENTS"
EMTRICITABINE,"To treat a viral infection, sometimes hepatitis B or C"
THYROID,for your thyroid gland (hypothyroidism treatment)
FLUTICASONE/VILANTEROL,Long acting inhaler for asthma or COPD/emphysema to take every day
CICLOPIROX,To treat a fungus infection on your skin or dandruff (dry flaky scalp)
CATHETER 16FR 5CC BALLOON ALL SILICONE,"CATHETER,FOLEY"
BENZOCAINE,Throat lozenge to relieve throat pain
DILTIAZEM (MYLAN-SR) 90MG SA CAP,For your high blood pressure
NARATRIPTAN,For migraine headaches
ACCORD-BENAZEPRIL 20MG/HCTZ 12.5MG TAB,INVESTIGATIONAL AGENTS
CATHETER 22FR 5CC SILICONE COAT,"CATHETER,FOLEY"
GRAMICIDIN/NEOMYCIN/POLYMYXIN B,"ANTI-INFECTIVE,TOPICAL OPHTHALMIC,OTHER"
SELEGILINE,To treat Parkinsons Disease
PROPANTHELINE,PARASYMPATHOLYTICS
ETHINYL ESTRADIOL/FERROUS FUMARATE/NORETHINDRONE,"CONTRACEPTIVES,SYSTEMIC"
DEXTROSE,IV SOLUTIONS WITHOUT ELECTROLYTES
CHLORDIAZEPOXIDE/CLIDINIUM,ANTIMUSCARINIC/ANTIPASMODIC COMBINATIONS
busulfan,for treating certain kinds of leukemia
